28.03.2024 22:57:08 [Logger]: Initialized Logger
28.03.2024 22:57:08 [Set_folder]: Setting the folder position
28.03.2024 22:57:08 [Reader]: Determening the highest File number
28.03.2024 22:57:08 [Reader]: Highest file number is: 87
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:08 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
28.03.2024 22:57:09 [Reader]: Send information to da Writer
