28.03.2024 23:25:50 [Logger]: Initialized Logger
28.03.2024 23:26:03 [Set_folder]: Setting the folder position
28.03.2024 23:26:03 [Reader]: Determening the highest File number
28.03.2024 23:26:03 [Reader]: Highest file number is: 87
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
28.03.2024 23:26:03 [Reader]: Send information to da Writer
